cid,data_time,value
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-16,62616.856511428574
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-17,62997.50271679655
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-18,63473.92328380953
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-19,59553.63971333335
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-20,48714.42400142862
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-21,69159.1448733333
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-22,62044.20095833334
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-23,66784.61835333337
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-24,64067.64469000001
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-25,76990.8611
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-26,77899.47475666665
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-27,65034.61016761908
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-28,83349.0951185715
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-29,72432.16276000005
91E0C8BAA163259EE0530BC8100AFFB2,2019-09-30,53876.60206714287
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-01,53528.56935333337
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-02,60431.8479
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-03,22308.841523333336
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-04,70579.38523571429
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-05,61833.255040000025
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-06,54873.015458095244
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-07,61785.79997333336
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-08,68203.35603999997
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-09,61634.53129999999
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-10,73154.2658133333
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-11,60643.15281333336
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-12,66590.63175999997
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-13,48786.681273333335
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-14,47258.74778380958
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-15,49796.45616238095
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-16,62714.442760000005
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-17,64403.13823333332
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-18,70488.84835761905
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-19,36541.695313333345
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-20,29862.241986666653
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-21,46431.2838209524
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-22,29417.484000476183
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-23,48156.273300000044
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-24,57176.37934
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-25,49457.836120476204
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-26,51980.97894000001
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-27,43760.80286666663
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-28,49427.866660000014
